"# node" size
node0 12795
node1 5771
node2 84543
node3 28162
node4 14175
node5 48959
node6 61989
node7 12518
node8 647
node9 17127
node10 94628
node11 31074
node12 16243
node13 30382
node14 74924
node15 44264
node16 40713
node17 39643
node18 98083
node19 75092
node20 57231
node21 27035
node22 62237
node23 46875
node24 99992
node25 41895
node26 88028
node27 76235
node28 75627
node29 91741
node30 60444
node31 61761
node32 62319
node33 89125
node34 27184
node35 16791
node36 40570
node37 61641
node38 3359
node39 65205
node40 37277
node41 3236
node42 62240
node43 87442
node44 12191
node45 7965
node46 20156
node47 21882
node48 1406
node49 92336
node50 60710
node51 67061
node52 27522
node53 1166
node54 39191
node55 986
node56 67068
node57 77502
node58 27317
node59 68146
node60 74239
node61 47763
node62 28708
node63 96722
node64 42656
node65 6686
node66 77371
node67 68251
node68 23022
node69 71700
node70 96096
node71 63464
node72 27997
node73 62437
node74 22426
node75 70406
node76 98922
node77 89379
node78 17884
node79 36031
node80 16739
node81 70861
node82 33591
node83 37725
node84 40844
node85 89890
node86 6801
node87 94428
node88 26573
node89 298
node90 74460
node91 77085
node92 26842
node93 80420
node94 70522
node95 37045
node96 67986
node97 53147
node98 82327
node99 41610
node100 59116
node101 17797
node102 11254
node103 71723
node104 71984
node105 13343
node106 88889
node107 73630
node108 63662
node109 12312
node110 18051
node111 88338
node112 94333
node113 24025
node114 6713
node115 42677
node116 1413
node117 64563
node118 26737
node119 2096
node120 84903
node121 36792
node122 99506
node123 65641
node124 87765
node125 77175
node126 50076
node127 66659
node128 99194
node129 57548
node130 33074
node131 49910
node132 66126
node133 59207
node134 95991
node135 51475
node136 51497
node137 68264
node138 62958
node139 60787
node140 16662
node141 41682
node142 21565
node143 70620
node144 49351
node145 86712
node146 15511
node147 96552
node148 11204
node149 20320
node150 66820
node151 11643
node152 31598
node153 36309
node154 37770
node155 21230
node156 62047
node157 16373
node158 54196
node159 2765
node160 71154
node161 7301
node162 76590
node163 36107
node164 21827
node165 75076
node166 95523
node167 65239
node168 90739
node169 88746
node170 90290
node171 35910
node172 28088
node173 68530
node174 38548
node175 40390
node176 70970
node177 56965
node178 93326
node179 60295
node180 45941
node181 99105
node182 8809
node183 44122
node184 37260
node185 86684
node186 81859
node187 30676
node188 51862
node189 81960
node190 75116
node191 46658
node192 82469
node193 85968
node194 96304
node195 39158
node196 72692
node197 71055
node198 63867
node199 44371
node200 5133
node201 76616
node202 17098
node203 63041
node204 93416
node205 20860
node206 85690
node207 51982
node208 79051
node209 407
node210 67752
node211 74563
node212 19554
node213 19561
node214 13583
node215 30395
node216 75094
node217 51928
node218 89716
node219 40097
node220 52706
node221 89983
node222 86569
node223 24931
node224 76390
node225 88804
node226 78251
node227 28533
node228 30948
node229 42786
node230 74987
node231 75820
node232 28408
node233 99875
node234 73524
node235 31018
node236 421
node237 75741
node238 50696
node239 39810
node240 95965
node241 94965
node242 58161
node243 75525
node244 99008
node245 27182
node246 32566
node247 89519
node248 34282
node249 15454
node250 15307
node251 40237
node252 33548
node253 87847
node254 11642
node255 21212
node256 94166
node257 22549
node258 72377
node259 16602
node260 31480
node261 42266
node262 95671
node263 88170
node264 37176
node265 13316
node266 73696
node267 74455
node268 16089
node269 85674
node270 3522
node271 43707
node272 24068
node273 48724
node274 57752
node275 3315
node276 63439
node277 91819
node278 49227
node279 92443
node280 66819
node281 62258
node282 91337
node283 6733
node284 82424
node285 29588
node286 57656
node287 81047
node288 11038
node289 33634
node290 28255
node291 33469
node292 5585
node293 13538
node294 70297
node295 85480
node296 23822
node297 49924
node298 80526
node299 40645
node300 7707
node301 70286
node302 47136
node303 62149
node304 95475
node305 20745
node306 62899
node307 63262
node308 17559
node309 40499
node310 68588
node311 3911
node312 25432
node313 61101
node314 85686
node315 66874
node316 3131
node317 69477
node318 55382
node319 33618
node320 45522
node321 47333
node322 61196
node323 53495
node324 46944
node325 70753
node326 923
node327 99744
node328 46935
node329 1824
node330 26612
node331 72009
node332 96898
node333 18302
node334 61934
node335 74837
node336 74610
node337 75450
node338 67966
node339 10429
node340 56603
node341 20361
node342 1757
node343 30302
node344 21698
node345 44050
node346 97490
node347 12533
node348 2410
node349 19994
node350 5594
node351 20397
node352 9814
node353 55284
node354 71915
node355 23104
node356 78222
node357 36233
node358 21049
node359 99704
node360 80220
node361 50993
node362 91761
node363 36710
node364 24987
node365 24431
node366 81658
node367 31578
node368 4794
node369 2832
node370 60389
node371 73515
node372 96176
node373 48909
node374 5984
node375 28182
node376 38875
node377 26299
node378 64377
node379 21880
node380 38895
node381 58863
node382 43232
node383 28442
node384 5284
node385 8243
node386 48087
node387 58872
node388 93371
node389 63980
node390 4218
node391 72852
node392 3821
node393 94690
node394 70960
node395 35875
node396 22068
node397 95398
node398 4837
node399 49032
node400 38236
node401 72247
node402 90538
node403 14117
node404 88002
node405 95379
node406 94500
node407 8615
node408 32114
node409 80833
node410 12899
node411 46389
node412 69167
node413 3475
node414 18514
node415 36847
node416 64209
node417 15839
node418 69205
node419 39835
node420 67871
node421 64354
node422 29005
node423 38998
node424 72203
node425 75088
node426 17522
node427 83008
node428 87202
node429 96484
node430 19500
node431 97596
node432 86101
node433 39740
node434 3396
node435 70905
node436 12801
node437 832
node438 23258
node439 840
node440 35918
node441 36882
node442 58676
node443 97971
node444 23054
node445 57375
node446 24523
node447 11504
node448 79353
node449 47
node450 90148
node451 70367
node452 25441
node453 53578
node454 20388
node455 7371
node456 70378
node457 34927
node458 97017
node459 69574
node460 77427
node461 9377
node462 6130
node463 70018
node464 741
node465 78775
node466 42875
node467 45061
node468 18537
node469 40053
node470 10605
node471 41510
node472 89289
node473 17598
node474 32123
node475 54457
node476 53199
node477 46484
node478 1778
node479 70011
node480 99750
node481 52611
node482 76386
node483 81356
node484 84184
node485 66726
node486 43167
node487 97723
node488 41399
node489 32973
node490 93045
node491 40005
node492 72233
node493 5383
node494 29270
node495 30574
node496 95285
node497 60277
node498 59029
node499 14712
